P0	P12	6
P0	P15	3
P0	P34	1
P0	P40	1
P0	P45	1
P0	P57	2
P0	P64	3
P0	P65	1
P0	P93	1
P0	P102	1
P0	P116	2
P0	P120	3
P0	P122	1
P0	P124	1
P0	P127	2
P0	P140	1
P0	P144	1
P0	P145	2
P0	P157	2
P0	P159	2
P0	P174	1
P0	P178	1
P0	P180	3
P0	P181	1
P0	P183	1
P0	P198	1
P1	P8	2
P1	P34	1
P1	P37	2
P1	P39	1
P1	P40	1
P1	P46	1
P1	P47	1
P1	P50	1
P1	P61	34
P1	P64	1
P1	P70	1
P1	P71	1
P1	P90	3
P1	P91	3
P1	P95	32
P1	P98	4
P1	P117	34
P1	P121	1
P1	P123	2
P1	P160	1
P1	P179	1
P1	P181	1
P1	P184	1
P1	P186	1
P1	P201	1
P2	P12	2
P2	P53	2
P2	P63	1
P2	P66	1
P2	P81	1
P2	P84	1
P2	P96	1
P2	P122	1
P2	P151	2
P2	P153	6
P2	P157	3
P2	P204	1
P3	P8	1
P3	P12	3
P3	P16	1
P3	P33	1
P3	P40	1
P3	P48	2
P3	P49	2
P3	P51	1
P3	P55	1
P3	P56	2
P3	P57	1
P3	P60	5
P3	P62	2
P3	P65	4
P3	P69	1
P3	P72	5
P3	P73	2
P3	P77	1
P3	P82	1
P3	P96	1
P3	P112	3
P3	P116	2
P3	P127	2
P3	P128	1
P3	P142	1
P3	P150	1
P3	P153	2
P3	P154	1
P3	P162	5
P3	P171	5
P3	P174	2
P3	P175	1
P3	P178	1
P3	P183	1
P4	P12	2
P4	P13	2
P4	P18	2
P4	P23	1
P4	P26	1
P4	P30	1
P4	P38	6
P4	P50	2
P4	P58	1
P4	P64	2
P4	P71	4
P4	P93	3
P4	P94	1
P4	P116	5
P4	P117	5
P4	P120	4
P4	P122	5
P4	P123	2
P4	P124	4
P4	P145	3
P4	P148	1
P4	P149	10
P4	P167	1
P4	P174	1
P4	P186	10
P4	P193	3
P5	P7	114
P5	P9	1
P5	P39	4
P5	P50	2
P5	P86	1
P5	P94	1
P5	P96	1
P5	P113	109
P5	P186	81
P5	P193	30
P5	P204	1
P5	P207	3
P6	P8	2
P6	P19	2
P6	P20	1
P6	P33	6
P6	P35	6
P6	P37	1
P6	P43	1
P6	P52	1
P6	P56	1
P6	P74	3
P6	P101	2
P6	P111	1
P6	P114	49
P6	P118	1
P6	P123	1
P6	P152	1
P6	P160	39
P6	P165	5
P6	P166	9
P6	P176	1
P6	P181	13
P6	P184	2
P6	P186	5
P6	P198	8
P6	P201	3
P7	P9	1
P7	P13	3
P7	P39	5
P7	P50	2
P7	P86	2
P7	P94	1
P7	P96	1
P7	P113	111
P7	P186	83
P7	P193	32
P7	P204	1
P7	P207	4
P8	P9	2
P8	P19	8
