P0	1
P1	2
P2	1
P3	1
P4	1
P5	4
P6	3
P7	4
P8	5
P9	1
P10	1
P11	2
P12	10
P13	8
P14	5
P15	2
P16	1
P17	2
P18	2
P19	6
P20	1
P21	2
P22	2
P23	2
P24	2
P25	2
P26	2
P27	2
P28	2
P29	2
P30	2
P31	2
P32	2
P33	2
P34	3
P35	2
P36	4
P37	2
P38	20
P39	9
P40	4
P41	5
P42	5
P43	3
P44	5
P45	3
P46	1
P47	2
P48	2
P49	3
P50	25
P51	6
P52	1
P53	1
P54	2
P55	1
P56	2
P57	4
P58	1
P59	1
P60	3
P61	2
P62	1
P63	3
P64	14
P65	3
P66	3
P67	7
P68	1
P69	1
P70	2
P71	11
P72	3
P73	1
P74	1
P75	1
P76	6
P77	2
P78	5
P79	1
P80	6
P81	2
P82	1
P83	5
P84	1
P85	1
P86	6
P87	1
P88	2
P89	1
P90	2
P91	2
P92	6
P93	9
P94	21
P95	2
P96	9
P97	3
P98	7
P99	1
P100	5
P101	4
P102	5
P103	2
P104	6
P105	1
P106	1
P107	1
P108	1
P109	3
P110	1
P111	1
P112	3
P113	6
P114	4
P115	5
P116	4
P117	16
P118	2
P119	1
P120	3
P121	6
P122	8
P123	4
P124	12
P125	5
P126	5
P127	5
P128	5
P129	2
P130	5
P131	3
P132	2
P133	5
P134	2
P135	3
P136	1
P137	7
P138	5
P139	1
P140	2
P141	1
P142	2
P143	1
P144	2
P145	6
P146	2
P147	1
P148	5
P149	17
P150	3
P151	1
P152	1
P153	3
P154	2
P155	4
P156	1
P157	2
P158	2
P159	3
P160	4
P161	1
P162	3
P163	1
P164	1
P165	5
P166	2
P167	2
P168	1
P169	4
P170	1
P171	3
P172	1
P173	5
P174	2
P175	1
P176	2
P177	1
P178	5
P179	4
P180	4
P181	9
P182	3
P183	5
P184	1
P185	1
P186	24
P187	1
P188	1
P189	1
P190	1
P191	1
P192	2
P193	10
P194	4
P195	1
P196	5
P197	4
P198	2
P199	5
P200	4
P201	5
P202	1
P203	5
P204	4
P205	3
P206	1
P207	4
